역이름,y,x,호선
동대문,37.57142,127.009745,1호선
동묘앞,37.572627,127.016429,1호선
서울역,37.555078,126.970702,1호선
시청,37.564718,126.977108,1호선
신설동,37.575297,127.025087,1호선
제기동,37.578103,127.034893,1호선
종각,37.570161,126.982923,1호선
종로3가,37.571607,126.991806,1호선
종로5가,37.570926,127.001849,1호선
청량리(서울시립대입구),37.580178,127.046835,1호선
길음,37.603407,127.025053,4호선
남태령,37.463873,126.989134,4호선
노원,37.655128,127.061368,4호선
당고개,37.670272,127.079066,4호선
동대문역사문화공원(DDP),37.565138,127.007896,4호선
동작(현충원),37.502971,126.979306,4호선
명동,37.560989,126.986325,4호선
미아(서울사이버대학),37.62667,127.025983,4호선
미아사거리,37.613292,127.030053,4호선
사당,37.47653,126.981685,4호선
삼각지,37.534777,126.97311,4호선
상계,37.660878,127.073572,4호선
성신여대입구(돈암),37.592624,127.016403,4호선
수유(강북구청),37.638052,127.025732,4호선
숙대입구(갈월),37.54456,126.972106,4호선
신용산,37.52917,126.967894,4호선
쌍문,37.648627,127.034709,4호선
이촌(국립중앙박물관),37.522272,126.974345,4호선
창동,37.653166,127.047731,1호선
총신대입구(이수),37.486263,126.981989,4호선
충무로,37.561243,126.99428,4호선
한성대입구(삼선교),37.588458,127.006221,4호선
혜화,37.582336,127.001844,4호선
회현(남대문시장),37.558514,126.978246,4호선
남영,37.541021,126.9713,1호선
노량진,37.514219,126.942454,1호선
대방,37.513342,126.926382,1호선
신길,37.517122,126.917169,1호선
영등포,37.515504,126.907628,1호선
용산,37.529849,126.964561,1호선
가산디지털단지,37.481072,126.882343,1호선
관악,37.419232,126.908706,1호선
광명,37.416182,126.884466,1호선
구로,37.503039,126.881966,1호선
군포,37.35356,126.948462,1호선
금정,37.372221,126.943429,1호선
금천구청,37.455626,126.89398,1호선
남영,37.541021,126.9713,1호선
노량진,37.514219,126.942454,1호선
당정,37.344285,126.948345,1호선
대방,37.513342,126.926382,1호선
독산,37.466613,126.889249,1호선
두정,36.833705,127.14896,1호선
명학,37.384653,126.935433,1호선
병점,37.207503,127.032731,1호선
서동탄,37.195504,127.051672,1호선
서울역,37.554648,126.972559,1호선
서정리,37.056496,127.052819,1호선
석수,37.435047,126.902295,1호선
성균관대,37.300349,126.97075,1호선
성환,36.916076,127.126964,1호선
세류,37.245025,127.013222,1호선
세마,37.187533,127.04318,1호선
송탄,37.075696,127.054301,1호선
수원,37.265974,126.999874,1호선
신길,37.517122,126.917169,1호선
신도림,37.508725,126.891295,1호선
안양,37.401592,126.922874,1호선
영등포,37.515504,126.907628,1호선
오산,37.145885,127.06672,1호선
오산대,37.168953,127.063197,1호선
용산,37.529849,126.964561,1호선
의왕,37.320852,126.948217,1호선
직산,36.870593,127.143904,1호선
진위,37.109447,127.062278,1호선
천안,36.810005,127.146826,1호선
평택,36.990726,127.085159,1호선
평택지제,37.0188,127.070444,1호선
화서,37.283862,126.989627,1호선
가능,37.748577,127.044213,1호선
광운대,37.623632,127.061835,1호선
녹양,37.75938,127.042292,1호선
녹천,37.644799,127.051269,1호선
덕계,37.818486,127.056486,1호선
덕정,37.843188,127.061277,1호선
도봉,37.679563,127.045595,1호선
도봉산,37.689313,127.046222,1호선
동두천,37.927878,127.05479,1호선
동두천중앙,37.901885,127.056482,1호선
망월사,37.709914,127.047455,1호선
방학,37.667503,127.044273,1호선
보산,37.913702,127.057277,1호선
서빙고,37.519594,126.988537,경의중앙
석계,37.614805,127.065851,1호선
소요산,37.9481,127.061034,1호선
신이문,37.601854,127.067325,1호선
양주,37.774381,127.044708,1호선
옥수,37.540685,127.017965,3호선
왕십리(성동구청),37.561533,127.037732,2호선
외대앞,37.596073,127.063549,1호선
월계,37.633212,127.058831,1호선
응봉,37.549946,127.034538,경의중앙
의정부,37.738415,127.045958,1호선
이촌(국립중앙박물관),37.522272,126.974345,4호선
지행,37.892334,127.055716,1호선
창동,37.653166,127.047731,1호선
청량리(서울시립대입구),37.580178,127.046835,1호선
한남,37.52943,127.009169,경의중앙
회룡,37.724846,127.046895,1호선
간석,37.464737,126.694181,1호선
개봉,37.494594,126.85868,1호선
구일,37.496756,126.870793,1호선
도원,37.468446,126.642706,1호선
도화,37.46607,126.668672,1호선
동암,37.471408,126.702896,1호선
